,score,energy,sa_score,rdkit_mol,DFT,smiles,cut_idx,scoring
"(20, 31)",-72.4,-72.41374343942779,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac8930>,-14.2,CNCC(N)c1ccc(CCl)cc1,10.0,rdkit_embed_scoring_NH3toN2
"(37, 36)",-65.2,-65.2388066227741,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a1c3f0>,-27.1,CC(N)CCC1CCC1,8.0,rdkit_embed_scoring_NH3toN2
"(9, 35)",-62.1,-62.11388095165932,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce369e33b0>,-24.0,CNCC(N)c1ccc(F)cc1Cl,5.0,rdkit_embed_scoring_NH3toN2
"(13, 27)",-62.1,-62.08173314808111,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac82f0>,-27.7,CCCCCCN,6.0,rdkit_embed_scoring_NH3toN2
"(20, 34)",-61.1,-61.06944309494533,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac86f0>,-25.5,CC(N)CCCF,6.0,rdkit_embed_scoring_NH3toN2
"(45, 48)",-60.3,-60.31692888551755,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a1caf0>,-31.0,CC(N)Cc1ccc(Cc2ccccc2)cc1,16.0,rdkit_embed_scoring_NH3toN2
"(41, 7)",-60.0,-60.01322642291067,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a1ccb0>,-22.9,CC(N)CCc1ccc(-c2ccccc2)cc1,16.0,rdkit_embed_scoring_NH3toN2
"(28, 31)",-59.5,-59.53439878133618,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a5d770>,-26.7,CC(N)CCc1ccc(-c2ccc(F)cc2)cc1,5.0,rdkit_embed_scoring_NH3toN2
"(30, 31)",-59.5,-59.54961530250396,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a5d330>,-23.8,Cc1ccc(CCCC(C)N)cc1,5.0,rdkit_embed_scoring_NH3toN2
"(10, 25)",-59.4,-59.39234585602577,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac84f0>,-21.5,CCCc1ccc(CC(C)N)cc1,12.0,rdkit_embed_scoring_NH3toN2
"(15, 36)",-59.4,-59.44306132356191,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac8830>,-23.0,Cc1ccc(CCC(C)N)cc1,11.0,rdkit_embed_scoring_NH3toN2
"(32, 22)",-58.7,-64.2482312450708,0.914151225738442,<rdkit.Chem.rdchem.Mol object at 0x7fce36a5df30>,-28.4,CCNC(N)CCF,5.0,rdkit_embed_scoring_NH3toN2
"(18, 7)",-58.6,-58.567012260724425,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac8d30>,-24.4,CC(N)Cc1ccc(CCl)cc1,11.0,rdkit_embed_scoring_NH3toN2
"(23, 8)",-58.4,-58.4385116437211,0.9999995012143004,<rdkit.Chem.rdchem.Mol object at 0x7fce36a5d870>,-28.4,CNCCCN,5.0,rdkit_embed_scoring_NH3toN2
"(37, 41)",-58.3,-58.319304376759455,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36a1ca70>,-32.7,CC(N)Cc1ccc(CCl)cn1,11.0,rdkit_embed_scoring_NH3toN2
"(15, 14)",-58.2,-58.186937757976864,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac8170>,-25.2,NCCCC1CCCC1,4.0,rdkit_embed_scoring_NH3toN2
"(10, 22)",-58.2,-58.165057716213575,1.0,<rdkit.Chem.rdchem.Mol object at 0x7fce36ac8530>,-19.0,CCC(N)CCF,5.0,rdkit_embed_scoring_NH3toN2
